manufacturer,made_in,fx,type,jacks_mounted_on,bypass,battery,voltage,polarity,circuit,tube_equipped,weight_in_kg,famous_users,width_in_cm,height_in_cm,depth_in_cm,gtin_14,additional_fx,based_on_famous_model,series,video,special_features,year,colour,serial_number,manufacturer_part_number,gtin_12,url,name
BOSS,Taiwan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.44,,7.3,5.9,12.9,04957054512330,Distortion,"BOSS BD-2, JHS Angry Charlie",,,Order swapping - Remote Switching,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/jb-2-angry-driver/,JB-2 Angry Driver
Diamond Pedals,Canada,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.40,,11.9,5.1,9.3,,Boost,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/jdr3-j-drive-mk3/,JDR3 J-Drive Mk3
Joyo,China,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Digital,No,,,6.4,3.8,11.8,06943206700289,,"Ibanez TS-9, Ibanez TS-808",Vintage Series,,,2010s,Green,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/jf-01-vintage-overdrive/,JF-01 Vintage Overdrive
Joyo,China,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,,No,0.37,,6.5,5.5,12,06943206700296,Distortion,Fulltone OCD,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/jf-02-ultimate-drive/,JF-02 Ultimate Drive
Joyo,China,Chorus,Pedal,Sides,True Bypass,Yes,9,Center Negative,Digital,No,0.46,,8.7,3.8,11.8,006943206700326,,,Vintage Series,,,2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/jf-05-classic-chorus/,JF-05 Classic Chorus
Joyo,China,Delay,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.22,,4.3,5,7.3,"06943206703044, 04429515554376",,,Ironman Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/jf-304-time-magic/,JF-304 Time Magic
Joyo,China,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.38,,4.3,5,7.3,06943206703051,,,Ironman Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/jf-305-at-drive/,JF-305 AT Drive
Joyo,China,Distortion,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.38,,4.3,5,7.3,06943206703136,,,Ironman Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/jf-313-old-school-distortion/,JF-313 Old School Distortion
Joyo,China,Chorus,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.22,,4.3,5,7.3,06943206703167,,,Ironman Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/jf-316-future-chorus/,JF-316 Future Chorus
Joyo,China,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.22,,4.3,5,7.3,06943206703198,,Ibanez Tube Screamer,Iron Man,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/jf-319-green-legend/,JF-319 Green Legend
