manufacturer,made_in,fx,type,jacks_mounted_on,bypass,battery,voltage,polarity,circuit,tube_equipped,weight_in_kg,famous_users,width_in_cm,height_in_cm,depth_in_cm,gtin_14,additional_fx,based_on_famous_model,series,video,special_features,year,colour,serial_number,manufacturer_part_number,gtin_12,url,name
Carl Martin,China,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.34,,6,5,11.5,00852940000912,,,Vintage Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/panama/,Panama
Wampler,USA,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.5,Lee Alexander,11.4,3.8,8.9,00763815133218,,"Wampler Pantheon Overdrive, Marshall Bluesbreaker MK1",,,Dual Channel Overdrive with channel stacking,2020's,Blue,,Dual Pantheon,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/pantheon-dual-overdrive-deluxe/,Pantheon Dual Overdrive Deluxe
Earthquaker Devices,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,6.4,5.7,11.8,00810019910913,,Park Amplification Park Fuzz,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/park-fuzz/,Park Fuzz
BOSS,Japan,Phaser,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.4,Jake E. Lee,7.3,5.9,12.9,,,,,,,1979,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/ph-1-phaser-1979/,PH-1 Phaser (1979)
MXR,USA,Phaser,Pedal,Sides,Buffered Bypass,Yes,9,TRS,Analog,No,0.66,,9.2,5.3,12.3,,,,,,,1983,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/phase-100-block/,Phase 100 (Block)
BOSS,Taiwan,Phaser,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.42,,7.3,5.9,12.9,"04957054053031, 00761294053034",,BOSS PH-1,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/ph-3-phase-shifter/,PH-3 Phase Shifter
MXR,USA,Phaser,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.66,,9.2,5.3,12.3,,,,,,,1976,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/phase-100-script/,Phase 100 (Script)
MXR,USA,Phaser,Pedal,Sides,Buffered Bypass,Yes,,,Analog,No,0.38,David Gilmour,11.4,6.4,14,,,,,,,1976,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/phase-45/,Phase 45
Ibanez,Japan,Phaser,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,,5.1,5.5,9.2,04549763281791,,,MINI Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/phaser-mini/,Phaser Mini
red sun fx,Germany,Boost,Pedal,Sides,Buffered Bypass,No,9,Center Negative,Analog,No,0.18,Finn Grabke,7,4.5,11.5,,,,,,internal DIP switches for Buffer Function,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/pictureboost/,Pictureboost
Gamechanger Audio,Latvia,Distortion,Pedal,Top,True Bypass,No,9,Center Negative,Analog,Yes,0.84,,9.4,7,14.8,04250503871997,Overdrive,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/plasma-pedal/,Plasma Pedal
Carl Martin,China,Overdrive,Pedal,Top,Buffered Bypass,No,9,Center Negative,Analog,No,0.40,Brett Kingman,10,5.8,12.2,,Treble Booster,Range Master,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/plexiranger/,PlexiRanger
Carl Martin,China,Overdrive,Pedal,Sides,Buffered Bypass,No,9,,Analog,No,0.28,"Pete Thorn, James Mulvaney",7.2,5.7,11.2,00852940000653,,Carl Martin PlexiTone,Pro Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/plexitone-lo-gain/,PlexiTone Lo Gain
Earthquaker Devices,USA,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.40,,6.4,11.8,5.7,00810019911347,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/plumes/,Plumes
Analog Alien,USA,Boost,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.40,,6.6,3.5,12.1,,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/power-pack/,Power Pack
Ashdown,China,Octaver,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.60,,7.3,4.5,11.6,00745114660244,,,Pro FX,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/bass-pedals/pro-ff-sub-harmonic-generator/,PRO FF Sub Harmonic Generator
Ashdown,China,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.60,,7.3,4.5,11.6,00745114660251,,,Pro FX,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/pro-fx-double-shot/,PRO FX Double Shot
Voodoo Lab,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.64,,15.2,5.7,17.8,00813140001055,"Fuzz, Octaver",Tycobrahe Sound Company's Octavia,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/proctavia/,Proctavia
BOSS,Taiwan,Pitch Shifter,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.44,,7.3,5.9,12.9,04957054413293,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/ps-6-harmonist/,PS-6 Harmonist
Fender,China,Distortion,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.54,,14,7.6,19,00885978891160,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/pugilist-distortion/,Pugilist Distortion
Carl Martin,China,Vibe,Pedal,Top,Buffered Bypass,No,9,Center Negative,Analog,No,0.35,"Brian Ray, Michael Thompson, James Mulvaney, Alberto Barrero",6,5,11.5,00852940000608,Fuzz,,Vintage Series,,Optional Fuzz added to the circuit,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/purple-moon/,Purple Moon
Earthquaker Devices,USA,Octaver,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.45,,9.3,5.7,11.8,00855755007237,"Chorus, Delay",,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/rainbow-machine-v2/,Rainbow Machine V2
Tate FX,UK,Fuzz,Pedal,Top,True Bypass,No,9,Center Negative,Analog,,0.25,,6.6,3.5,12.1,,,Fuzz Face,,,Pickup simulator,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/raise-the-dead/,Raise The Dead
Tube Amp Doctor,Germany,Boost,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.65,,9.4,3.4,11.9,04251594901716,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/rangeking/,RangeKing
ProCo,USA,Distortion,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.80,,8.9,7.9,10.4,,,,,,,1987,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/rat-1987-2/,RAT (1987)
ProCo,USA,Distortion,Pedal,Top,True Bypass,Yes,9,TRS,Analog,No,0.80,"Curt Cobain, David Gilmore, James Hetfield, Andy Summers, Joe Walsh, and many more...",8.9,7.9,10.4,,,,,,,1987,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/rat-1987/,RAT (1987)
Wampler,USA,Distortion,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.22,,3.8,3.8,8.9,00763815132938,,ProCo RAT,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/ratsbane/,Ratsbane
JAM Pedals,Greece,Distortion,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.25,"Nels Cline, Kurt Rosenwinkel, Robert Randolph, Julien Kasper",6,3.2,11.1,05214001611140,,Pro Co RAT,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/rattler/,Rattler
JAM Pedals,Greece,Distortion,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.30,,7,5.6,12,05214001611263,,ProCo RAT,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/rattler-bass/,Rattler Bass
BOSS,Malaysia,Delay,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,4.5,,7.3,5.9,12.9,04957054519025,,RE:201 Space Echo,Compact,,Carry Over Switch,2022,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/re-2/,RE-2
BOSS,Taiwan,Delay,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Digital,No,1.10,,17.3,5.7,15.8,04957054403706,,RE:201 Space Echo,20,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/re-20-space-echo/,RE-20 Space Echo
JAM Pedals,Greece,Fuzz,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.30,,7.5,5.6,12,05214001611256,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/red-muck-bass/,Red Muck Bass
JAM Pedals,Greece,Fuzz,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.25,,6.8,4.7,11.1,05214001611171,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/red-muck-mk-2/,Red Muck Mk. 2
Carl Martin,Denmark,Delay,Pedal,Top,Buffered Bypass,No,9,Center Negative,Hybrid,No,0.35,,9.5,5.6,12,"00852940000837, 00852940000257",Acoustic Simulator,,Vintage Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/red-repeat/,Red Repeat
EBS,Sweden,Chorus,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.40,,7,3.5,11.5,07332100030308,Flanger,,,,,2015,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/red-twister/,Red Twister
JAM Pedals,Greece,Vibe,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.35,,9.5,12,3.4,05214001611010,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/retrovibe-mk-2/,Retrovibe Mk.2
JAM Pedals,Greece,Phaser,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.21,,7,4.8,11.1,05214001611058,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/ripple/,Ripple
Mad Professor,Finland,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.34,Matt Schofield,7.9,6.1,13.7,06430033091302,,,Factory Series,,,2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/royal-blue-overdrive/,Royal Blue Overdrive
Analog Alien,USA,"Delay, Overdrive, Reverb",Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.80,,14.6,3.8,12,,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/rumble-seat/,Rumble Seat
TC Electronic,China,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,7.4,5.8,13.2,04033653014977,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/rusty-fuzz/,Rusty Fuzz
BOSS,Taiwan,Reverb,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.45,,7.3,5.9,12.9,04957054507282,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/reverb/rv-6-reverb/,RV-6 Reverb
Anasounds,France,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.43,,6,4,12,03760257570059,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/savage/,Savage
TC Electronic,China,Chorus,Pedal,Top,Buffered Bypass,No,9,Center Negative,Analog,No,0.34,Eric Johnson,9.4,4.8,12.7,04033653016797,"Flanger, Modulation, Pitch Shifter",TC Electronic SCF,,,,2020's,Black,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/scf-gold/,SCF Gold
MXR,USA,Compressor,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.38,"Bob Bradshaw, Eddie Van Halen, Slash, Prince, Joe Perry, Lenny Kravitz, Kirk Hammet, The Edge, Steve Lukather, Zakk Wylde",6.4,3.2,11.5,00710137095564,,1976 MXR Dyna Comp Script Logo,,,,2010s,Red,,,,https://www.tonepedia.com/catalog/effects-and-pedals/compression-and-sustain/script-dyna-comp-compressor/,Script Dyna Comp Reissue CSP102SL
BOSS,Taiwan,,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.40,,7.3,5.9,12.9,"00761294008508, 04957054008505",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/sd-1-super-overdrive/,SD-1 Super Overdrive
BOSS,Taiwan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.43,,7.3,5.9,12.9,"00761294506523, 04957054506520",,BOSS SD-1,WAZA CRAFT,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/sd-1w-super-overdrive/,SD-1W Super Overdrive
Behringer,China,Fuzz,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,.3,,8.6,6.1,15.6,00689076115919,,BOSS FZ-2,Compact,,Secret Mode,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/behringer-sf300-super-fuzz/,SF300 Super Fuzz
TC Electronic,Thailand,Vibrato,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.18,Mac DeMarco,4.8,4.8,9.3,05706622019691,,TC Electronic Shaker Vibrato,Toneprint Series,,"TonePrint , Analog-Dry-Through design",2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/shaker-mini-vibrato/,Shaker Mini Vibrato
Dunlop Electronics,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.20,,8.9,5,8.9,00710137065970,,Fuzz Face,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/silicon-fuzz-face-mini-distortion/,Silicon Fuzz Face Mini Distortion
Vox,Vietnam,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,Yes,0.35,,7.2,5.5,12,04058059215858,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/silk-drive/,Silk Drive
Mad Professor,Finland,Reverb,Pedal,Sides,True Bypass,Yes,9,Center Negative,Hybrid,No,0.34,,7.9,6.1,13.7,06430033091265,,,Factory Series,,,2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/reverb/silver-spring-reverb/,Silver Spring Reverb
Carl Martin,China,Overdrive,,Sides,Buffered Bypass,No,9,Center Negative,Analog,No,0.28,"Pete Thorn, Joash Gooch, Johnny Marr, Rick Graham",7.2,5.7,11.2,00852940000585,,Carl Martin AC Tone,Pro-Series,,Active Buffered Bypass,2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/single-channel-ac-tone/,Single Channel AC Tone
TC Electronic,China,Reverb,Pedal,Top,True Bypass,Yes,9,Center Negative,Digital,No,0.50,,7.4,5.8,13.2,04033653014885,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/reverb/skysurfer-reverb/,Skysurfer Reverb
BOSS,Japan,Beat Generator,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.4,,6.4,5.1,11.9,,,BOSS SL-20,,,,2020's,Green,,,,https://www.tonepedia.com/catalog/effects-and-pedals/ls-2-slicer/,SL-2 Slicer
Electro-Harmonix,USA,Chorus,Pedal,Top,Buffered Bypass,Yes,9,TRS,Analog,No,0.4,,8.5,5.5,13.5,,,,,,,1975,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/small-stone-v1-1975/,Small Stone V1 (1975)
Electro-Harmonix,USA,Chorus,Pedal,Top,Buffered Bypass,Yes,9,TRS,Analog,No,0.4,"Dimebag Darrell, Steven Wilson, Junkie XL",8.5,5.5,13.5,,,,,,,1978,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/small-stone-v2-1978/,Small Stone V2 (1978)
JHS Pedals,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.38,,9.2,5.1,14.4,00650415212286,,Silicon Fuzz Faces,Legends Of Fuzz,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/smiley/,Smiley
Effesk,The Netherlands,Fuzz,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.42,,7.9,5.3,12.9,,,Jordan Boss Tone,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/sonic-salvation/,Sonic Salvation
Electro-Harmonix,USA,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.25,,7,5.4,11.5,00683274011448,Boost,Klon,,,Switchable Buffer,2010's,Yellow,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/soul-food/,Soul Food
Höfner,,Reverb,Pedal,Top,True Bypass,Yes,9,Center Negative,Digital,No,0.35,,11.7,3.6,9.2,04250358617689,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/reverb/sound-of-the-60s/,Sound of the 60s
Voodoo Lab,USA,Overdrive,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.68,,9.5,5,12,00813140001031,,,,,Clean Blend,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/sparkle-drive/,Sparkle Drive
Voodoo Lab,USA,Overdrive,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.57,,15.2,5.1,17.7,00813140001086,,,,,Clean Blend,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/sparkle-drive-mod/,Sparkle Drive Mod
Earthquaker Devices,USA,Envelope Filter,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.25,,6.4,5.7,12.1,00855755007251,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/wahs-and-filters/spatial-delivery-v2/,Spatial Delivery V2
BOSS,Taiwan,Distortion,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.44,,7.3,5.9,12.9,"04957054413309, 00761294413302",Overdrive,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/st-2-power-stack/,ST-2 Power Stack
Ibanez,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.45,,6.4,3.5,12.1,,,,9 Series,,,1985,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/st-9-super-tube-screamer/,ST-9 Super Tube Screamer
Universal Audio,Malaysia,Delay,Pedal,Top,"Buffered Bypass, True Bypass",No,9,Center Negative,Digital,No,0.56,,9.2,6.5,14.1,00819937002847,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/starlight-echo/,Starlight Echo
Solodallas,USA,Boost,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.29,Angus Young,7,5.7,12.5,,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/storm/,Storm
TC Electronic,Thailand,Octaver,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.19,,4.8,4.8,9.3,05706622019714,,,,,"TonePrint, Analog-Dry-Through design",,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/sub-n-up-mini-octaver/,Sub ‘n’ up Mini Octaver
Tone City,China,Phaser,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.25,,4.2,5.2,9.3,06970131360127,,,Mini Pedals,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/summer-orange-phaser/,Summer Orange Phaser
Marshall,,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.85,,11,8,22.7,,,Sola Sound Tonebender MK2 Professional,,,,1968,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/supa-fuzz-1968/,Supa Fuzz (1968)
Colorsound,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.65,Steve Hackett,12,4.2,22,,,Electro Harmonix Ram's Head Big Muff,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/supa-tonebender-1974/,Supa Tonebender (1974)
Marshall,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.85,,10.2,8.2,23.7,,,,,,,1967,Grey,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/supa-fuzz/,SupaFuzz (1967)
Ibanez,Japan,Distortion,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,,5.1,5.5,9.3,04515276838098,,Ibanez SM9 Super Metal,Mini,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/super-metal-mini/,Super Metal Mini
Voodoo Lab,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.66,,15.2,5.7,17.8,00813140001062,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/superfuzz/,Superfuzz
JHS Pedals,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.38,,9.2,5.1,14.4,00650415212293,,univox super-fuzz,Legends Of Fuzz,,Mid Cut and Octave up Switches on side,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/supreme/,Supreme
Carl Martin,China,Tremolo,Pedal,Top,Buffered Bypass,No,9,Center Negative,Analog,No,0.35,,6,5,11.5,00852940000509,,,Vintage Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/surf-trem/,Surf Trem
Mad Professor,Finland,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.34,"Jerry Donahue, Jeremy Freedman, Matt Schofield, Takaakira ""Taka"" Goto, Hideki ""Yoda"" Suematsu",7.9,6.1,13.7,06430033091197,,,Factory Series,,,,,"SHOD 15 07463, SHOD 17 08076",,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/sweet-honey-overdrive/,Sweet Honey Overdrive
Way Huge,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.37,Wata,9.5,4.4,12.1,00710137104303,,Big Muff,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/swollen-pickle/,Swollen Pickle
BOSS,Malaysia,Synthesizer,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.45,,7.3,5.9,12.9,04957054514389,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/guitar-synths/sy-1/,SY-1
TC Electronic,China,Vibrato,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,7.4,5.8,13.2,04033653014908,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/tailspin-vibrato/,Tailspin Vibrato
Tone City,China,Delay,Pedal,Sides,True Bypass,No,9,Center Negative,Hybrid,No,0.25,,4.2,5.2,9.3,06970131360042,,,Mini Pedals,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/tape-machine-delay/,Tape Machine Delay
Clonewerk,Germany,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.24,,12,5,9.5,,Boost,Klon,,,,2020's,Silver,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/taurus/,Taurus
BOSS,Japan,Fuzz,Pedal,Sides,Buffered Bypass,Yes,"7, 9, 12",Center Negative,Analog,No,440,,7.3,5.9,12.9,04957054517533,,ToneBender,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tb-2w/,TB-2W
BOSS,Taiwan,Delay,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.43,,7.3,5.9,12.9,"00761294503294, 04957054503291",Ambient,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/te-2-tera-echo/,TE-2 Tera Echo
EBS,China,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.30,,6.1,4.5,11,07332100421106,,,Blue Label,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-drive-boost-overdrive/,The Drive Boost/Overdrive
J. Rockett,USA,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.40,,5.8,5.5,10.1,00851236004481,,Dumble Overdrive Special,Tour,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-dude-v2/,The Dude V2
Marshall,UK,Overdrive,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.50,,10.7,5,12.4,,Distortion,,,,,1989,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-guvnor-1989/,The Guv’nor (1989)
RYRA,USA,Overdrive,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.24,,12,5,9.5,,Boost,Klon,,,,2010's,Gold,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-klone/,The Klone
TC Electronic,China,Delay,Pedal,Top,True Bypass,No,,Center Negative,Digital,No,0.50,,7.4,5.8,13.2,04033653014984,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/the-prophet-digital-delay/,The Prophet Digital Delay
Solodallas,USA,Boost,Pedal,Top,True Bypass,No,9,Center Positive,Analog,No,0.30,,9.5,5.6,11.8,,,Schaffer-Vega Diversity System,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-schaffer-replica/,The Schaffer Replica
Aclam,Spain,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.42,,13.7,5.5,8.8,08436552764800,Boost,,,,Pickup Simulator,2020's,Purple,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-woman-tone/,The Woman Tone
TC Electronic,China,Flanger,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,7.4,5.8,13.2,04033653014892,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/flanger/thunderstorm-flanger/,Thunderstorm Flanger
Höfner,,Delay,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,11.7,3.6,9.2,04250358617672,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/time-and-again/,Time and Again
Tone City,China,Reverb,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.25,,4.2,5.2,9.3,06970131360165,,,Mini Pedals,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/reverb/tiny-spring-reverb/,Tiny Spring Reverb
Aguilar,USA,Compressor,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.49,,6.8,13.3,5.3,00824599001077,,,,,,2000s,Blue,,,,https://www.tonepedia.com/catalog/effects-and-pedals/compression-and-sustain/tlc-compressor/,TLC Compressor
